,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
2452,Apartamento,Tijuca,2,1,1,92,2900.0,907.0,2364.4095850019803
2453,Apartamento,Recreio dos Bandeirantes,2,1,1,90,1700.0,549.0,212.0
2454,Apartamento,Barra da Tijuca,3,3,3,266,15000.0,3700.0,692.0
2455,Loja/Salão,Barra da Tijuca,0,2,0,154,10800.0,2977.0,744.0
2457,Apartamento,Copacabana,2,0,0,80,2400.0,995.0,180.0
2458,Conjunto Comercial/Sala,Copacabana,0,1,0,60,3000.0,1100.0,250.0
2459,Apartamento,Tijuca,3,2,1,135,2000.0,920.0,2400.0
2460,Conjunto Comercial/Sala,Copacabana,0,1,0,120,4500.0,2200.0,528.0
2461,Conjunto Comercial/Sala,Barra da Tijuca,0,2,0,20,3200.0,7318.0,190.0
2462,Casa de Vila,Méier,3,1,1,80,2300.0,2388.0624242214294,2364.4095850019803
2463,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,51,1000.0,1803.0,352.0
2464,Apartamento,Pechincha,3,2,1,113,1300.0,840.0,2364.4095850019803
2465,Galpão/Depósito/Armazém,Curicica,0,0,0,893,33934.0,5340.0,3107.0
2466,Apartamento,Maracanã,2,1,1,70,1300.0,766.0,110.0
2467,Apartamento,Laranjeiras,3,1,1,105,3800.0,1200.0,2364.4095850019803
2468,Apartamento,Jacarepaguá,2,1,0,60,1000.0,590.0,20.0
2469,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,27,1000.0,600.0,118.0
2470,Apartamento,Recreio dos Bandeirantes,3,1,1,91,1900.0,550.0,2364.4095850019803
2471,Apartamento,Ipanema,2,1,1,82,15000.0,4000.0,5918.0
2472,Apartamento,Penha,2,0,0,117,1300.0,2388.0624242214294,110.0
2473,Loja/Salão,Botafogo,0,0,0,585,60000.0,400.0,50000.0
2474,Loja Shopping/ Ct Comercial,Barra da Tijuca,0,1,0,82,3500.0,2278.0,678.0
2475,Loja/Salão,Barra da Tijuca,0,0,0,27,1570.0,812.0,617.0
2476,Conjunto Comercial/Sala,Barra da Tijuca,0,4,0,113,430.0,2807.0,430.0
2477,Casa de Condomínio,Barra da Tijuca,5,3,0,900,20000.0,1308.0,1601.0
2478,Apartamento,Copacabana,4,1,3,220,16000.0,1700.0,550.0
2479,Apartamento,Leblon,2,1,1,98,4500.0,1637.0,2364.4095850019803
2480,Apartamento,Tanque,1,1,1,64,900.0,470.0,15.0
2481,Apartamento,Leblon,2,1,1,80,8000.0,2279.0,2364.4095850019803
2482,Apartamento,Ipanema,1,0,0,54,2100.0,781.0,2364.4095850019803
2483,Apartamento,Barra da Tijuca,3,2,1,133,3500.0,2292.0,690.0
2484,Apartamento,Pechincha,2,1,0,50,600.0,330.0,14.0
2485,Apartamento,Barra da Tijuca,4,4,4,601,7000.0,5800.0,1202.0
2486,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,49,2400.0,1050.0,2364.4095850019803
2487,Prédio Inteiro,Centro,1,92,0,6550,430000.0,2388.0624242214294,51985.0
2488,Conjunto Comercial/Sala,Tijuca,0,1,0,29,1450.0,550.0,83.0
2489,Apartamento,Pavuna,2,0,0,40,600.0,2388.0624242214294,2364.4095850019803
2490,Apartamento,Botafogo,3,2,1,86,3700.0,815.0,139.0
2491,Conjunto Comercial/Sala,Barra da Tijuca,0,7,0,200,15000.0,4200.0,940.0
2492,Casa,Recreio dos Bandeirantes,4,5,3,222,5800.0,638.0,354.0
2493,Apartamento,Lagoa,3,3,1,252,9000.0,1900.0,600.0
2494,Apartamento,Tijuca,2,1,0,66,2300.0,125.0,531.0
2495,Conjunto Comercial/Sala,Laranjeiras,0,6,0,942,80070.0,18840.0,2364.4095850019803
2496,Apartamento,Ipanema,4,3,1,236,13000.0,3000.0,940.0
2497,Conjunto Comercial/Sala,Barra da Tijuca,0,5,0,370,27750.0,6631.0,2200.0
2498,Conjunto Comercial/Sala,Centro,0,0,0,200,10000.0,2500.0,900.0
2499,Conjunto Comercial/Sala,Centro,0,0,0,539,74921.0,14553.0,2364.4095850019803
2500,Apartamento,Vila Isabel,2,1,0,70,1600.0,750.0,60.0
2501,Apartamento,Barra da Tijuca,3,2,2,212,5500.0,1200.0,682.0
2502,Box/Garagem,Centro,0,0,0,9,100.0,446.0,2364.4095850019803
2503,Casa,Campo Grande,3,1,0,100,1500.0,2388.0624242214294,2364.4095850019803
2504,Apartamento,Ipanema,3,1,0,80,3500.0,1000.0,204.0
2505,Apartamento,Anil,2,1,1,65,1500.0,367.0,2364.4095850019803
2506,Conjunto Comercial/Sala,Centro,0,0,0,1516,60640.0,22452.0,2364.4095850019803
2507,Apartamento,Leblon,4,2,4,300,16000.0,4200.0,1764.0
2508,Casa,Recreio dos Bandeirantes,4,2,4,900,14000.0,1170.0,2364.4095850019803
2509,Galpão/Depósito/Armazém,Cordovil,0,0,0,4000,39000.0,2388.0624242214294,4000.0
2510,Conjunto Comercial/Sala,Barra da Tijuca,0,2,0,70,3000.0,1888.0,2364.4095850019803
2511,Apartamento,Recreio dos Bandeirantes,3,3,1,120,2600.0,930.0,380.0
2512,Apartamento,Copacabana,1,0,0,55,2500.0,2388.0624242214294,2364.4095850019803
2513,Conjunto Comercial/Sala,Copacabana,0,1,0,40,2500.0,934.0,128.0
2514,Flat,Copacabana,2,1,1,60,3000.0,1600.0,188.0
2515,Loja/Salão,Copacabana,0,0,0,25,1299.0,680.0,100.0
2516,Apartamento,Leblon,3,1,1,150,5000.0,1000.0,450.0
2517,Casa de Vila,Recreio dos Bandeirantes,3,2,3,284,4500.0,920.0,359.0
2518,Apartamento,Botafogo,2,1,1,84,5000.0,1107.0,210.0
2519,Casa,Pilares,2,0,0,65,800.0,2388.0624242214294,2364.4095850019803
2520,Apartamento,Barra da Tijuca,4,3,2,244,7000.0,3110.0,6900.0
2521,Apartamento,Recreio dos Bandeirantes,3,1,1,81,1900.0,1014.0,80.0
2522,Apartamento,Leblon,4,1,4,200,10000.0,1600.0,1198.0
2523,Apartamento,Pechincha,3,1,1,108,1350.0,900.0,114.0
2524,Apartamento,Glória,1,0,1,48,1100.0,500.0,2364.4095850019803
2525,Conjunto Comercial/Sala,Centro,0,0,0,30,350.0,350.0,93.0
2526,Apartamento,Barra da Tijuca,3,2,1,98,2800.0,1520.0,110.0
2527,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,34,1800.0,1300.0,2364.4095850019803
2528,Apartamento,Lagoa,3,1,0,116,3500.0,1154.0,289.0
2529,Apartamento,Tijuca,2,0,0,70,1600.0,850.0,84.0
2530,Apartamento,Flamengo,1,0,1,41,1700.0,630.0,55.0
2531,Apartamento,Taquara,2,1,0,53,1000.0,400.0,16.0
2532,Apartamento,Taquara,3,1,1,64,1200.0,590.0,546.0
2533,Apartamento,Cachambi,3,1,0,77,1300.0,420.0,25.0
2534,Conjunto Comercial/Sala,Centro,0,36,0,1897,151760.0,48506.0,8223.0
2535,Conjunto Comercial/Sala,Centro,0,0,0,104,2230.0,4009.0,172.0
2536,Casa,Bangu,2,2,0,120,1580.0,2388.0624242214294,2364.4095850019803
2537,Apartamento,Andaraí,1,2,0,67,1500.0,522.0,104.0
2538,Apartamento,Vargem Pequena,2,1,0,45,1100.0,360.0,40.0
2539,Loja Shopping/ Ct Comercial,Barra da Tijuca,0,1,0,30,800.0,950.0,150.0
